,animal,cond,chan,new_sample_freq,filter_type,lo_cutoff,hi_cutoff,remove_drop_packs,remove_artifact,tot_power,brad_power,norm_power,tach_power,brad_domf,norm_domf,tach_domf,packet_remove_pct,art_remove_pct
0,58-21,base,g1,200,bandpass,0.05,0.7,True,True,76204523.4614,40821700.199,31388696.8558,3994126.4066,0.07,0.1739,0.1906,0.45,1.97
0,58-21,base,g2,200,bandpass,0.05,0.7,True,True,829364393.1384,623055129.4345,151191078.2738,55118185.4302,0.0661,0.1672,0.21,0.45,6.14
0,58-21,base,g3,200,bandpass,0.05,0.7,True,True,143021508.9782,76970048.2764,54134651.1312,11916809.5706,0.0689,0.1661,0.1944,0.45,1.92
0,58-21,base,g4,200,bandpass,0.05,0.7,True,True,117273420.6462,83437852.2508,28347591.1735,5487977.2219,0.0728,0.1733,0.1978,0.45,1.24
0,58-21,feed,g1,200,bandpass,0.05,0.7,True,True,199600446.185,131284011.0495,41998983.5354,26317451.6001,0.0581,0.1764,0.1924,18.27,6.46
0,58-21,feed,g2,200,bandpass,0.05,0.7,True,True,311560616.5176,178666821.7029,73926748.2842,58967046.5305,0.0769,0.1283,0.1913,18.35,2.84
0,58-21,feed,g3,200,bandpass,0.05,0.7,True,True,405422075.4048,217578170.5919,97341055.9962,90502848.8166,0.0581,0.1465,0.2068,17.85,7.32
0,58-21,feed,g4,200,bandpass,0.05,0.7,True,True,232255310.2665,143998763.078,43902512.7452,44354034.4434,0.0769,0.1355,0.1963,18.16,5.37
0,60-21,base,g1,200,bandpass,0.05,0.7,True,True,295096753.4445,148000954.4937,85717957.5259,61377841.4249,0.0778,0.1817,0.2039,0.45,3.04
0,60-21,base,g2,200,bandpass,0.05,0.7,True,True,72263069.1331,44820699.2041,24766015.4846,2676354.4444,0.07,0.1756,0.1911,0.45,0.57
0,60-21,base,g3,200,bandpass,0.05,0.7,True,True,867500182.0448,419897567.4833,259686623.1196,187915991.442,0.0739,0.165,0.2217,1.3,51.15
0,60-21,base,g4,200,bandpass,0.05,0.7,True,True,670944015.2428,279951425.9135,297906163.2214,93086426.1079,0.0878,0.1761,0.2011,0.45,7.88
0,60-21,feed,g1,200,bandpass,0.05,0.7,True,True,463979336.6904,307321622.0938,94355150.3732,62302564.2234,0.0581,0.1377,0.1985,4.38,9.57
0,60-21,feed,g2,200,bandpass,0.05,0.7,True,True,138556327.8348,113527503.5021,17007217.4756,8021606.857,0.0581,0.1863,0.1979,0.89,4.8
0,60-21,feed,g3,200,bandpass,0.05,0.7,True,True,874677847.4001,481184650.8692,229093056.4962,164400140.0347,0.0769,0.1321,0.1924,1.59,57.24
0,60-21,feed,g4,200,bandpass,0.05,0.7,True,True,414925194.2192,198583678.5131,186937914.1207,29403601.5854,0.0581,0.1786,0.1902,0.9,7.59
0,87-21,feed,g1,200,bandpass,0.05,0.7,True,True,120960156.246,51832212.4831,38992550.8203,30135392.9427,0.1033,0.1411,0.1977,2.58,2.42
0,87-21,feed,g2,200,bandpass,0.05,0.7,True,True,472159737.6346,232508679.3938,155030411.9596,84620646.2812,0.0622,0.1739,0.2088,6.35,12.66
0,87-21,feed,g3,200,bandpass,0.05,0.7,True,True,976907346.8908,490528437.8578,269793419.5196,216585489.5133,0.0916,0.1366,0.1916,3.94,40.94
0,87-21,feed,g4,200,bandpass,0.05,0.7,True,True,94898171.6333,47243136.3784,35731976.4755,11923058.7793,0.0694,0.1739,0.2072,0.29,0.89
0,87-21,base,g1,200,bandpass,0.05,0.7,True,True,194887275.9544,125876854.5448,43460953.7413,25549467.6683,0.1027,0.1822,0.1916,2.77,2.24
0,87-21,base,g2,200,bandpass,0.05,0.7,True,True,90590410.5474,49020812.6232,32744050.7419,8825547.1823,0.0594,0.1833,0.1933,0.72,4.57
0,87-21,base,g3,200,bandpass,0.05,0.7,True,True,77009933.5262,21673629.7652,33663694.5713,21672609.1896,0.085,0.1855,0.1938,0.17,3.14
0,87-21,base,g4,200,bandpass,0.05,0.7,True,True,19748908.8691,7707374.307,8210859.1202,3830675.4419,0.0661,0.1833,0.1933,0.06,0.36
0,103-21,feed,g1,200,bandpass,0.05,0.7,True,True,568385937.8459,348252170.8379,150727281.4631,69406485.5449,0.0561,0.1633,0.1961,0.0,4.54
0,103-21,feed,g2,200,bandpass,0.05,0.7,True,True,197778010.4294,45931157.614,130795862.5603,21050990.2551,0.0889,0.1617,0.1911,0.0,0.02
0,103-21,feed,g3,200,bandpass,0.05,0.7,True,True,143850323.9361,48264917.6934,78251074.66,17334331.5827,0.0617,0.1622,0.2022,0.0,0.12
0,103-21,feed,g4,200,bandpass,0.05,0.7,True,True,73566288.372,18266818.5997,50772917.4824,4526552.2899,0.0917,0.1611,0.2389,0.0,0.0
0,103-21,base,g1,200,bandpass,0.05,0.7,True,True,203398721.5917,110602184.6979,68147143.6444,24649393.2494,0.0767,0.1606,0.1928,0.0,1.44
0,103-21,base,g2,200,bandpass,0.05,0.7,True,True,147126707.7551,21023365.7484,92054228.52,34049113.4866,0.0878,0.175,0.1933,0.0,0.02
0,103-21,base,g3,200,bandpass,0.05,0.7,True,True,63965456.8007,17199771.7368,35099804.0162,11665881.0477,0.0656,0.1628,0.1928,0.0,0.03
0,103-21,base,g4,200,bandpass,0.05,0.7,True,True,48880210.6772,10943115.841,32750206.348,5186888.4882,0.0828,0.1733,0.1928,0.0,0.0
